      n      nnz method  it         err       tprec      tsolve      memory
   1000     2000 NoPrec 928 9.85378e-08 0.00000e+00 3.02006e-03 0.00000e+00
   1000     2000 Jacobi 928 9.85378e-08 7.56000e-07 3.62770e-03 5.00000e+01
   1000     2000   SSOR 313 9.26444e-08 2.40000e-08 5.62764e-03 0.00000e+00
   1000     2000   ILU0   1 1.40430e-11 9.21200e-06 3.91420e-05 1.00000e+02
   1000     2000   ILU1   1 1.40430e-11 3.55780e-05 2.33860e-05 1.00050e+02
   2000     4000 NoPrec 1843 9.90925e-08 0.00000e+00 1.53756e-02 0.00000e+00
   2000     4000 Jacobi 1843 9.90925e-08 2.22000e-06 1.82438e-02 5.00000e+01
   2000     4000   SSOR 620 8.86787e-08 2.90000e-08 2.49579e-02 0.00000e+00
   2000     4000   ILU0   1 5.71084e-11 2.05710e-05 9.38160e-05 1.00000e+02
   2000     4000   ILU1   1 5.71084e-11 9.24920e-05 5.51240e-05 1.00025e+02
   4000     8000 NoPrec 3660 9.99731e-08 0.00000e+00 5.00015e-02 0.00000e+00
   4000     8000 Jacobi 3660 9.99731e-08 2.36200e-06 4.10468e-02 5.00000e+01
   4000     8000   SSOR 1230 9.47260e-08 1.90000e-08 6.91214e-02 0.00000e+00
   4000     8000   ILU0   1 2.36734e-10 3.73670e-05 9.65440e-05 1.00000e+02
   4000     8000   ILU1   1 2.36734e-10 1.20080e-04 6.92140e-05 1.00013e+02
   8000    16000 NoPrec 7268 1.13737e-07 0.00000e+00 1.49246e-01 0.00000e+00
   8000    16000 Jacobi 7268 1.13737e-07 4.95000e-06 1.69729e-01 5.00000e+01
   8000    16000   SSOR 2440 1.02866e-07 1.60000e-08 2.57020e-01 0.00000e+00
   8000    16000   ILU0   1 9.43000e-10 1.34229e-04 2.33562e-04 1.00000e+02
   8000    16000   ILU1   1 9.43000e-10 3.03816e-04 1.56581e-04 1.00006e+02
  16000    32000 NoPrec 14432 3.10558e-07 0.00000e+00 1.93211e+00 0.00000e+00
  16000    32000 Jacobi 14432 3.10558e-07 1.43380e-05 2.12400e+00 5.00000e+01
  16000    32000   SSOR 4845 1.99469e-07 4.40000e-08 3.20217e+00 0.00000e+00
  16000    32000   ILU0   1 3.75563e-09 4.02002e-04 3.39094e-03 1.00000e+02
  16000    32000   ILU1   1 3.75563e-09 1.78211e-03 1.59130e-03 1.00003e+02
  32000    64000 NoPrec 28653 1.68440e-06 0.00000e+00 7.70325e+00 0.00000e+00
  32000    64000 Jacobi 28653 1.68440e-06 8.89160e-05 7.79376e+00 5.00000e+01
  32000    64000   SSOR 9618 9.73170e-07 5.20000e-08 8.92217e+00 0.00000e+00
  32000    64000   ILU0   1 1.50969e-08 9.55857e-04 5.25902e-03 1.00000e+02
  32000    64000   ILU1   1 1.50969e-08 2.31078e-03 5.76882e-03 1.00002e+02
